submission_id,quality_score,functionality_score
269308927,4,1
268967990,4,1
4278977,4,1
204115614,4,0
143412806,3,0
269005075,4,0
269170574,4,0
269308016,4,0
245969688,4,0
225507580,4,0
73921389,4,1
137849766,4,1
130417385,4,1
136272729,4,1
9383316,4,1
267583203,3,0
137964971,4,1
107136237,4,1
58950256,4,1
46680942,4,1
85726948,4,1
199375056,3,1
268649481,4,1
158242314,4,1
19185713,4,1
4286521,4,1
86840533,4,0
177781379,4,1
220509822,3,0
220758338,4,0
112404248,4,1
189849393,4,1
123945932,4,1
43522335,4,1
87432861,4,1
169976018,4,1
82025698,4,1
233720349,4,1
166294041,4,1
9741875,4,1
39669757,4,1
38123484,4,1
167105542,5,0
162488646,3,1
265000937,4,1
179459229,5,0
18881650,5,0
167104620,5,0
19786574,4,0
52938728,4,0
234429687,3,1
169473686,4,1
119545358,4,1
254086103,4,1
139403250,4,0
196247667,4,0
58063537,4,0
219163636,5,0
60418293,4,0
118507586,4,1
131670468,4,1
102749520,4,1
104735818,4,1
216820075,4,1
162314158,4,1
213203737,4,1
182187454,4,1
214393093,4,1
223297131,4,1
101387883,4,1
14825864,4,1
158767022,4,1
141424383,3,0
162489352,4,1
144771675,4,1
81955318,4,1
186987706,4,1
100791100,4,1
262282481,4,1
190652630,4,1
117131173,4,1
74000860,4,1
86089020,4,1
69431188,4,1
95693850,4,1
37380947,4,1
112778295,4,1
248322190,4,0
190269470,4,1
56472008,5,1
89771800,3,1
21342587,4,1
112326675,4,1
213359347,4,1
111625189,4,1
9620686,4,1
29829331,4,1
84583002,4,1
84370772,4,1
186104766,3,0
218245929,4,1
43994453,4,1
94500640,4,1
141269710,4,1
44430808,4,1
145163652,4,0
160716626,4,0
46965481,4,1
134083293,4,1
44277185,4,1
166443798,4,1
111410634,4,1
145067225,4,1
200715488,4,1
144887327,3,1
170005027,4,0
9230385,4,1
50632194,4,1
147263807,4,1
204196328,4,1
165698486,4,1
267611391,4,1
182425118,4,1
149900145,4,1
234666884,4,1
49185916,4,0
221241840,4,1
131307519,4,1
216659401,4,1
235699917,4,0
261090890,4,1
46888850,4,1
14365448,4,1
177015175,4,1
43521143,5,1
85572510,4,1
129326927,4,1
105126921,4,1
154156234,4,1
78098112,4,1
15813256,4,1
15797499,4,1
54319605,4,1
144995114,4,1
15817506,4,1
77988853,4,1
113002034,4,0
117302304,4,0
232308516,4,0
90502454,3,0
